"edge_id","source","target","length","car","car.reverse","bike","bike.reverse","foot","WKT","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l17.1","l19","l20","l21","l22","l23","l24","l25","l26","l27","l28","l29","l30","l31","l32","l33","l34","l35","l36","l37","l38","l39","l40","l41","l42","l43","l44","l45","l46","l47","l48","l49","l50","l51","l52","l53","l54","l55","l56","l57","l58","l59","l60","l61","l62","l63","l64","l65","saftyScore","edgeBetweenness","f","betweenness"
306,4961818953,2919123584,4.38350296021,0,0,5,5,1,"LINESTRING(-79.9426699 40.4430083","-79.9426561 40.4430463)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,139,139
52,302757190,1713340583,8.47320842743,1,1,2,2,1,"LINESTRING(-79.9419543 40.4418456","-79.9418579 40.441825)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,60,60
202,302985823,302984563,420.825836182,0,0,5,5,1,"LINESTRING(-79.9363386 40.434457","-79.9364077 40.4344407","-79.9365227 40.4343974","-79.9366425 40.4343595","-79.9367665 40.4343061","-79.9369088 40.4342845","-79.9370877 40.4342713","-79.9373092 40.4343053","-79.9375511 40.4343549","-79.9378134 40.4344276","-79.9380837 40.4345142","-79.9382728 40.4345993","-79.9384394 40.4346713","-79.9386132 40.4347502","-79.9387769 40.4348066","-79.9389432 40.4348351","-79.9390859 40.4348523","-79.9392342 40.4348492","-79.9393786 40.4348507","-79.939531 40.4348817","-79.9396556 40.434907","-79.9398186 40.4349462","-79.939956 40.4349984","-79.9401002 40.4350395","-79.9402293 40.4350604","-79.9404234 40.4350983","-79.9405647 40.4351424","-79.9407029 40.4351834","-79.940832 40.4352298","-79.9409859 40.4353055)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,46,46
68,104692909,104523055,56.6059608459,1,1,2,2,1,"LINESTRING(-79.9353004 40.4435532","-79.9355861 40.4440135)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,58,58
250,3192430394,3382338910,87.767074585,1,1,2,2,1,"LINESTRING(-79.9398801 40.441235","-79.9397972 40.4411965","-79.9397419 40.4411965","-79.9393465 40.4413741","-79.9389807 40.4415396)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,206,206
27,105058025,105142357,70.4600448608,1,1,2,2,1,"LINESTRING(-79.9371006 40.4399776","-79.9369419 40.4402648","-79.9367918 40.4403657","-79.9365934 40.4404431)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,68,68
162,1713340599,1713340588,9.81054210663,0,0,5,5,1,"LINESTRING(-79.9419174 40.4419871","-79.9418854 40.4420719)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,72,72
109,302757191,302757192,88.823425293,0,0,5,5,1,"LINESTRING(-79.9419256 40.4419653","-79.942934 40.4421869)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,224,224
235,302450472,4388097867,9.18370628357,0,0,5,5,1,"LINESTRING(-79.9423634 40.4404353","-79.9423323 40.4404002","-79.9423203 40.440361)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,204,204
238,3192430394,2716677222,44.7211761475,1,1,2,2,1,"LINESTRING(-79.9398801 40.441235","-79.9402276 40.441538)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,642,66,66
